num,store,address,review,score,
293,토산초등학교 병설유치원,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,0,0,
294,송당초등학교,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,0,5,
295,송당초등학교 병설유치원,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,0,0,
296,가마초등학교,제주특별자치도 서귀포시 표선면 일주동로6285번길 8,2,0,
297,성읍초등학교,제주특별자치도 서귀포시 표선면 성읍민속로 65,1,0,
298,성읍초등학교 병설유치원,제주특별자치도 서귀포시 표선면 성읍민속로 65,0,0,
299,구좌중앙초등학교,제주특별자치도 제주시 구좌읍 월정7길 1,1,0,
300,구좌중앙초등학교병설유치원,제주특별자치도 제주시 구좌읍 월정7길 1,0,0,
301,한마음초등학교,제주특별자치도 서귀포시 표선면 한마음초등로 408,1,0,
302,한마음초등학교병설유치원,제주특별자치도 서귀포시 표선면 한마음초등로 408,0,0,
303,표선고등학교,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,2,3,
304,한동초등학교,제주특별자치도 제주시 구좌읍 일주동로 2831,4,0,
305,한동초등학교병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2831,0,0,
306,표선초등학교,제주특별자치도 서귀포시 표선면 표선동서로 293,3,0,
307,표선초등학교 병설유치원,제주특별자치도 서귀포시 표선면 표선동서로 293,0,0,
308,표선중학교,제주특별자치도 서귀포시 표선면 표선중앙로 31,0,5,
309,글로벌리더스쿨 제주캠퍼스,제주특별자치도 서귀포시 성산읍 서성일로 488,0,5,
310,평대초등학교,제주특별자치도 제주시 구좌읍 일주동로 2979,2,0,
311,평대초등학교병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2979,0,0,
312,풍천초등학교,제주특별자치도 서귀포시 성산읍 풍천로 18,0,0,
313,풍천초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 풍천로 18,0,0,
314,세화초등학교,제주특별자치도 제주시 구좌읍 구좌로 65,2,0,
315,세화중학교,제주특별자치도 제주시 구좌읍 일주동로 3132,0,0,
316,세화초등학교 병설유치원,제주특별자치도 제주시 구좌읍 구좌로 65,1,0,
317,세화고등학교,제주특별자치도 제주시 구좌읍 세종로 26,0,3,
318,신산초등학교,제주특별자치도 서귀포시 성산읍 일주동로 5104,0,0,
319,신산중학교,제주특별자치도 서귀포시 성산읍 일주동로 5104,0,0,
320,하도초등학교,제주특별자치도 제주시 구좌읍 일주동로 3378,2,0,
321,하도초등학교 병설유치원,제주특별자치도 제주시 구좌읍 일주동로 3378,0,0,
322,수산초등학교,제주특별자치도 서귀포시 성산읍 수시로 9,3,5,
323,수산초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 수시로 9,0,0,
324,온평초등학교,제주특별자치도 서귀포시 성산읍 일주동로 4740,1,5,
325,온평초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 일주동로 4740,0,0,
326,시흥초등학교,제주특별자치도 서귀포시 성산읍 시흥상동로 113,4,5,
327,시흥초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 시흥상동로 113,0,0,
328,종달초등학교,제주특별자치도 제주시 구좌읍 종달로7길 5,7,5,
329,종달초등학교병설유치원,제주특별자치도 제주시 구좌읍 종달로7길 5,0,0,
330,동남초등학교,제주특별자치도 서귀포시 성산읍 고성오조로 55,3,0,
331,성산중학교,제주특별자치도 서귀포시 성산읍 일주동로 4316,0,5,
332,동남초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 고성오조로 55,0,0,
333,성산고등학교,제주특별자치도 서귀포시 성산읍 한도로 79-17,0,5,
334,성산초등학교,제주특별자치도 서귀포시 성산읍 한도로 217,1,0,
335,성산초등학교 병설유치원,제주특별자치도 서귀포시 성산읍 한도로 217,0,0,
336,우도초등학교,제주특별자치도 제주시 우도면 우도로 156-11,0,0,
337,우도중학교,제주특별자치도 제주시 우도면 우도로 156-11,0,0,
